Request Year:,2024
Test:,201
Test Description:,
TestRegime Name:,LMB NMC622 100cyc C/2
TestRegime Suffix:,DEMO
TestRegime CellSize:,Pouch 3.5Ah
TestRegime Version:,1
Project Group Name:,LMB Research
Project Group Description:,Lithium Metal Battery cycling study
Project Group Memo:,
Project Group Storage Environment:,R.T./AMB
Project Group Test Environment:,R.T./AMB
Number Of Cells:,1
Parameter names:,
Parameter values:,
Variable names
LotID:,
Lot Description:,
Date Made:,3/01/2024 0:00
Origin:,Lab
Requestor:,Demo
Product ID:,LMB-NMC622-Pouch
Storage Temp:,R.T./AMB
Storage Delay:,0 days
Test Temp:,R.T./AMB
Start Time:,03/15/2024 10:00:00
End Time:,1/1/0001 0:00
Operator Instructions:,Synthetic demo data for LMBAgent
#RESULTS CHECK
ReqYear,Test,CellNr,Type,Value,Reason,
2024,201,1,1,3500,3,
#END RESULTS CHECK
Test,Cell,Rack,Shelf,Position,Cell ID,Step,Cycle,Total Time (Seconds),Load On Time (Seconds),Step Time (Seconds),Cycle Charge Time (Seconds),Cycle Discharge Time (Seconds),Real Time,Position Start Time,Voltage (mV),Current (mA),Charge Capacity (mAh),Discharge Capacity (mAh),Charge Capacity (mWh),Discharge Capacity (mWh),ReasonCode,50% DoD (mV),PeakPower 1 (W),PeakPower 2 (W),Open Circuit Voltage 1 (V),Open Circuit Voltage 2 (V),Internal Resistance 1 (mOhm),Internal Resistance 2 (mOhm),Ambient temperature (°C),Cell surface temperature (°C),DC Internal Resistance (mOhm),AC Internal Resistance (mOhm),Station Temperature (°C),
201,1,LAB01,001,1,,1,0,797.985,698,698,698,0,03/15/2024 10:11:21,03/15/2024 10:00:00,2890.3815,1750.0,339.298,0.000,960.795,0.000,2,0,0,0,0,0,45.0,0,25.11,25.55,,,,
201,1,LAB01,001,1,,1,0,914.316,814,814,814,0,03/15/2024 10:13:17,03/15/2024 10:00:00,2911.3765,1750.0,395.848,0.000,1125.433,0.000,2,0,0,0,0,0,45.0,0,24.98,25.59,,,,
201,1,LAB01,001,1,,1,0,1030.647,931,931,931,0,03/15/2024 10:15:14,03/15/2024 10:00:00,2936.2176,1750.0,452.398,0.000,1291.475,0.000,2,0,0,0,0,0,45.0,0,24.98,25.63,,,,
201,1,LAB01,001,1,,1,0,1146.978,1047,1047,1047,0,03/15/2024 10:17:10,03/15/2024 10:00:00,2958.1993,1750.0,508.947,0.000,1458.760,0.000,2,0,0,0,0,0,45.0,0,24.85,25.68,,,,
201,1,LAB01,001,1,,1,0,1263.308,1163,1163,1163,0,03/15/2024 10:19:06,03/15/2024 10:00:00,2980.8546,1750.0,565.497,0.000,1627.327,0.000,2,0,0,0,0,0,45.0,0,24.93,26.18,,,,
201,1,LAB01,001,1,,1,0,1379.639,1280,1280,1280,0,03/15/2024 10:21:03,03/15/2024 10:00:00,3005.4418,1750.0,622.047,0.000,1797.284,0.000,30,0,0,0,0,0,45.0,0,24.99,26.32,,,,
201,1,LAB01,001,1,,1,0,1495.970,1396,1396,1396,0,03/15/2024 10:22:59,03/15/2024 10:00:00,3028.6799,1750.0,678.597,0.000,1968.555,0.000,2,0,0,0,0,0,45.0,0,25.05,26.39,,,,
201,1,LAB01,001,1,,1,0,1612.301,1512,1512,1512,0,03/15/2024 10:24:55,03/15/2024 10:00:00,3053.1636,1750.0,735.146,0.000,2141.210,0.000,2,0,0,0,0,0,45.0,0,24.94,26.54,,,,
201,1,LAB01,001,1,,1,0,1728.632,1629,1629,1629,0,03/15/2024 10:26:52,03/15/2024 10:00:00,3075.6496,1750.0,791.696,0.000,2315.137,0.000,2,0,0,0,0,0,45.0,0,25.08,26.87,,,,
201,1,LAB01,001,1,,1,0,1844.963,1745,1745,1745,0,03/15/2024 10:28:48,03/15/2024 10:00:00,3098.5321,1750.0,848.246,0.000,2490.359,0.000,2,0,0,0,0,0,45.0,0,24.95,26.59,,,,
201,1,LAB01,001,1,,1,0,1961.293,1861,1861,1861,0,03/15/2024 10:30:44,03/15/2024 10:00:00,3122.4494,1750.0,904.795,0.000,2666.932,0.000,2,0,0,0,0,0,45.0,0,24.94,26.40,,,,
201,1,LAB01,001,1,,1,0,2077.624,1978,1978,1978,0,03/15/2024 10:32:41,03/15/2024 10:00:00,3147.7458,1750.0,961.345,0.000,2844.936,0.000,2,0,0,0,0,0,45.0,0,24.92,26.65,,,,
201,1,LAB01,001,1,,1,0,2193.955,2094,2094,2094,0,03/15/2024 10:34:37,03/15/2024 10:00:00,3169.0883,1750.0,1017.895,0.000,3024.147,0.000,2,0,0,0,0,0,45.0,0,24.82,26.81,,,,
201,1,LAB01,001,1,,1,0,2310.286,2210,2210,2210,0,03/15/2024 10:36:33,03/15/2024 10:00:00,3192.7929,1750.0,1074.445,0.000,3204.699,0.000,2,0,0,0,0,0,45.0,0,25.09,27.16,,,,
201,1,LAB01,001,1,,1,0,2426.617,2327,2327,2327,0,03/15/2024 10:38:30,03/15/2024 10:00:00,3217.0028,1750.0,1130.994,0.000,3386.619,0.000,2,0,0,0,0,0,45.0,0,25.07,27.47,,,,
201,1,LAB01,001,1,,1,0,2542.948,2443,2443,2443,0,03/15/2024 10:40:26,03/15/2024 10:00:00,3240.2341,1750.0,1187.544,0.000,3569.854,0.000,30,0,0,0,0,0,45.0,0,24.94,27.33,,,,
201,1,LAB01,001,1,,1,0,2659.278,2559,2559,2559,0,03/15/2024 10:42:22,03/15/2024 10:00:00,3263.1889,1750.0,1244.094,0.000,3754.386,0.000,2,0,0,0,0,0,45.0,0,25.14,27.27,,,,
201,1,LAB01,001,1,,1,0,2775.609,2676,2676,2676,0,03/15/2024 10:44:19,03/15/2024 10:00:00,3288.5851,1750.0,1300.643,0.000,3940.355,0.000,2,0,0,0,0,0,45.0,0,25.00,27.50,,,,
201,1,LAB01,001,1,,1,0,2891.940,2792,2792,2792,0,03/15/2024 10:46:15,03/15/2024 10:00:00,3312.2117,1750.0,1357.193,0.000,4127.659,0.000,2,0,0,0,0,0,45.0,0,25.13,27.61,,,,
201,1,LAB01,001,1,,1,0,3008.271,2908,2908,2908,0,03/15/2024 10:48:11,03/15/2024 10:00:00,3335.7271,1750.0,1413.743,0.000,4316.294,0.000,2,0,0,0,0,0,45.0,0,25.07,27.97,,,,
201,1,LAB01,001,1,,1,0,3124.602,3025,3025,3025,0,03/15/2024 10:50:08,03/15/2024 10:00:00,3359.8191,1750.0,1470.293,0.000,4506.290,0.000,2,0,0,0,0,0,45.0,0,25.00,27.50,,,,
201,1,LAB01,001,1,,1,0,3240.933,3141,3141,3141,0,03/15/2024 10:52:04,03/15/2024 10:00:00,3384.2797,1750.0,1526.842,0.000,4697.671,0.000,2,0,0,0,0,0,45.0,0,24.88,27.14,,,,
201,1,LAB01,001,1,,1,0,3357.263,3257,3257,3257,0,03/15/2024 10:54:00,03/15/2024 10:00:00,3407.9533,1750.0,1583.392,0.000,4890.389,0.000,2,0,0,0,0,0,45.0,0,25.02,27.13,,,,
201,1,LAB01,001,1,,1,0,3473.594,3374,3374,3374,0,03/15/2024 10:55:57,03/15/2024 10:00:00,3434.0986,1750.0,1639.942,0.000,5084.587,0.000,2,0,0,0,0,0,45.0,0,24.74,27.16,,,,
201,1,LAB01,001,1,,1,0,3589.925,3490,3490,3490,0,03/15/2024 10:57:53,03/15/2024 10:00:00,3456.4985,1750.0,1696.491,0.000,5280.051,0.000,2,0,0,0,0,0,45.0,0,24.99,27.45,,,,
201,1,LAB01,001,1,,1,0,3706.256,3606,3606,3606,0,03/15/2024 10:59:49,03/15/2024 10:00:00,3479.4000,1750.0,1753.041,0.000,5476.810,0.000,30,0,0,0,0,0,45.0,0,24.92,27.40,,,,
201,1,LAB01,001,1,,1,0,3822.587,3723,3723,3723,0,03/15/2024 11:01:46,03/15/2024 10:00:00,3504.5559,1750.0,1809.591,0.000,5674.991,0.000,2,0,0,0,0,0,45.0,0,24.96,27.30,,,,
201,1,LAB01,001,1,,1,0,3938.918,3839,3839,3839,0,03/15/2024 11:03:42,03/15/2024 10:00:00,3529.4072,1750.0,1866.141,0.000,5874.578,0.000,2,0,0,0,0,0,45.0,0,25.20,27.59,,,,
201,1,LAB01,001,1,,1,0,4055.248,3955,3955,3955,0,03/15/2024 11:05:38,03/15/2024 10:00:00,3553.2744,1750.0,1922.690,0.000,6075.515,0.000,2,0,0,0,0,0,45.0,0,25.12,27.72,,,,
201,1,LAB01,001,1,,1,0,4171.579,4072,4072,4072,0,03/15/2024 11:07:35,03/15/2024 10:00:00,3579.2850,1750.0,1979.240,0.000,6277.922,0.000,2,0,0,0,0,0,45.0,0,25.06,27.39,,,,
201,1,LAB01,001,1,,1,0,4287.910,4188,4188,4188,0,03/15/2024 11:09:31,03/15/2024 10:00:00,3601.3709,1750.0,2035.790,0.000,6481.579,0.000,2,0,0,0,0,0,45.0,0,24.89,27.43,,,,
201,1,LAB01,001,1,,1,0,4404.241,4304,4304,4304,0,03/15/2024 11:11:27,03/15/2024 10:00:00,3627.6114,1750.0,2092.339,0.000,6686.719,0.000,2,0,0,0,0,0,45.0,0,24.83,27.12,,,,
201,1,LAB01,001,1,,1,0,4520.572,4421,4421,4421,0,03/15/2024 11:13:24,03/15/2024 10:00:00,3650.9404,1750.0,2148.889,0.000,6893.179,0.000,2,0,0,0,0,0,45.0,0,25.00,27.29,,,,
201,1,LAB01,001,1,,1,0,4636.903,4537,4537,4537,0,03/15/2024 11:15:20,03/15/2024 10:00:00,3675.6183,1750.0,2205.439,0.000,7101.034,0.000,2,0,0,0,0,0,45.0,0,25.19,27.30,,,,
201,1,LAB01,001,1,,1,0,4753.233,4653,4653,4653,0,03/15/2024 11:17:16,03/15/2024 10:00:00,3700.3654,1750.0,2261.988,0.000,7310.289,0.000,2,0,0,0,0,0,45.0,0,24.93,27.40,,,,
201,1,LAB01,001,1,,1,0,4869.564,4770,4770,4770,0,03/15/2024 11:19:13,03/15/2024 10:00:00,3725.2075,1750.0,2318.538,0.000,7520.948,0.000,30,0,0,0,0,0,45.0,0,25.04,27.14,,,,
201,1,LAB01,001,1,,1,0,4985.895,4886,4886,4886,0,03/15/2024 11:21:09,03/15/2024 10:00:00,3748.9587,1750.0,2375.088,0.000,7732.951,0.000,2,0,0,0,0,0,45.0,0,25.00,27.07,,,,
201,1,LAB01,001,1,,1,0,5102.226,5002,5002,5002,0,03/15/2024 11:23:05,03/15/2024 10:00:00,3772.5801,1750.0,2431.638,0.000,7946.289,0.000,2,0,0,0,0,0,45.0,0,25.08,27.17,,,,
201,1,LAB01,001,1,,1,0,5218.557,5119,5119,5119,0,03/15/2024 11:25:02,03/15/2024 10:00:00,3798.0651,1750.0,2488.187,0.000,8161.068,0.000,2,0,0,0,0,0,45.0,0,24.98,26.97,,,,
201,1,LAB01,001,1,,1,0,5334.888,5235,5235,5235,0,03/15/2024 11:26:58,03/15/2024 10:00:00,3822.8243,1750.0,2544.737,0.000,8377.248,0.000,2,0,0,0,0,0,45.0,0,25.03,27.00,,,,
201,1,LAB01,001,1,,1,0,5451.218,5351,5351,5351,0,03/15/2024 11:28:54,03/15/2024 10:00:00,3848.1670,1750.0,2601.287,0.000,8594.861,0.000,2,0,0,0,0,0,45.0,0,24.93,26.44,,,,
201,1,LAB01,001,1,,1,0,5567.549,5468,5468,5468,0,03/15/2024 11:30:51,03/15/2024 10:00:00,3875.5019,1750.0,2657.836,0.000,8814.019,0.000,2,0,0,0,0,0,45.0,0,24.94,26.40,,,,
201,1,LAB01,001,1,,1,0,5683.880,5584,5584,5584,0,03/15/2024 11:32:47,03/15/2024 10:00:00,3897.5726,1750.0,2714.386,0.000,9034.426,0.000,2,0,0,0,0,0,45.0,0,24.99,26.51,,,,
201,1,LAB01,001,1,,1,0,5800.211,5700,5700,5700,0,03/15/2024 11:34:43,03/15/2024 10:00:00,3923.6288,1750.0,2770.936,0.000,9256.306,0.000,2,0,0,0,0,0,45.0,0,24.94,26.26,,,,
201,1,LAB01,001,1,,1,0,5916.542,5817,5817,5817,0,03/15/2024 11:36:40,03/15/2024 10:00:00,3947.9457,1750.0,2827.486,0.000,9479.561,0.000,2,0,0,0,0,0,45.0,0,25.04,26.23,,,,
201,1,LAB01,001,1,,1,0,6032.873,5933,5933,5933,0,03/15/2024 11:38:36,03/15/2024 10:00:00,3972.4851,1750.0,2884.035,0.000,9704.204,0.000,30,0,0,0,0,0,45.0,0,25.16,26.15,,,,
201,1,LAB01,001,1,,1,0,6149.204,6049,6049,6049,0,03/15/2024 11:40:32,03/15/2024 10:00:00,3998.5030,1750.0,2940.585,0.000,9930.318,0.000,2,0,0,0,0,0,45.0,0,25.03,26.01,,,,
201,1,LAB01,001,1,,1,0,6265.534,6166,6166,6166,0,03/15/2024 11:42:29,03/15/2024 10:00:00,4022.5905,1750.0,2997.135,0.000,10157.795,0.000,2,0,0,0,0,0,45.0,0,25.16,26.33,,,,
201,1,LAB01,001,1,,1,0,6381.865,6282,6282,6282,0,03/15/2024 11:44:25,03/15/2024 10:00:00,4047.4066,1750.0,3053.684,0.000,10386.674,0.000,2,0,0,0,0,0,45.0,0,24.95,25.80,,,,
201,1,LAB01,001,1,,1,0,6498.196,6398,6398,6398,0,03/15/2024 11:46:21,03/15/2024 10:00:00,4071.9948,1750.0,3110.234,0.000,10616.944,0.000,2,0,0,0,0,0,45.0,0,25.02,25.74,,,,
201,1,LAB01,001,1,,1,0,6614.527,6515,6515,6515,0,03/15/2024 11:48:18,03/15/2024 10:00:00,4097.8830,1750.0,3166.784,0.000,10848.679,0.000,2,0,0,0,0,0,45.0,0,25.04,25.34,,,,
201,1,LAB01,001,1,,1,0,6730.858,6631,6631,6631,0,03/15/2024 11:50:14,03/15/2024 10:00:00,4124.1861,1750.0,3223.334,0.000,11081.900,0.000,2,0,0,0,0,0,45.0,0,24.87,24.88,,,,
201,1,LAB01,001,1,,1,0,6847.189,6747,6747,6747,0,03/15/2024 11:52:10,03/15/2024 10:00:00,4149.8993,1750.0,3279.883,0.000,11316.576,0.000,2,0,0,0,0,0,45.0,0,25.06,25.17,,,,
201,1,LAB01,001,1,,1,0,6963.519,6864,6864,6864,0,03/15/2024 11:54:07,03/15/2024 10:00:00,4175.9448,1750.0,3336.433,0.000,11552.724,0.000,2,0,0,0,0,0,45.0,0,25.00,25.23,,,,
201,1,LAB01,001,1,,1,0,7079.850,6980,6980,6980,0,03/15/2024 11:56:03,03/15/2024 10:00:00,4199.2058,1750.0,3392.983,0.000,11790.188,0.000,2,0,0,0,0,0,45.0,0,25.03,25.01,,,,
201,1,LAB01,001,1,,2,0,7109.850,0,0,6980,0,03/15/2024 11:57:59,03/15/2024 10:00:00,4191.9174,0.0,3392.983,0.000,11790.188,0.000,30,0,0,0,0,0,45.0,0,25.07,25.07,,,,
201,1,LAB01,001,1,,2,0,7139.850,0,30,6980,0,03/15/2024 11:58:29,03/15/2024 10:00:00,4191.6283,0.0,3392.983,0.000,11790.188,0.000,2,0,0,0,0,0,45.0,0,24.95,24.95,,,,
201,1,LAB01,001,1,,2,0,7169.850,0,60,6980,0,03/15/2024 11:58:59,03/15/2024 10:00:00,4197.2291,0.0,3392.983,0.000,11790.188,0.000,2,0,0,0,0,0,45.0,0,24.90,24.90,,,,
201,1,LAB01,001,1,,2,0,7199.850,0,90,6980,0,03/15/2024 11:59:29,03/15/2024 10:00:00,4192.7127,0.0,3392.983,0.000,11790.188,0.000,30,0,0,0,0,0,45.0,0,25.12,25.12,,,,
201,1,LAB01,001,1,,2,0,7229.850,0,120,6980,0,03/15/2024 11:59:59,03/15/2024 10:00:00,4193.4782,0.0,3392.983,0.000,11790.188,0.000,2,0,0,0,0,0,45.0,0,24.77,24.77,,,,
201,1,LAB01,001,1,,3,0,7342.624,113,113,6980,113,03/15/2024 12:00:29,03/15/2024 10:00:00,4125.0561,-1750.0,3392.983,54.821,11790.188,226.138,30,0,0,0,0,0,45.0,0,25.06,25.21,,,,
201,1,LAB01,001,1,,3,0,7455.398,226,226,6980,226,03/15/2024 12:02:22,03/15/2024 10:00:00,4103.0048,-1750.0,3392.983,109.641,11790.188,451.067,2,0,0,0,0,0,45.0,0,25.10,25.37,,,,
201,1,LAB01,001,1,,3,0,7568.172,338,338,6980,338,03/15/2024 12:04:15,03/15/2024 10:00:00,4080.1323,-1750.0,3392.983,164.462,11790.188,674.743,2,0,0,0,0,0,45.0,0,25.08,25.33,,,,
201,1,LAB01,001,1,,3,0,7680.946,451,451,6980,451,03/15/2024 12:06:08,03/15/2024 10:00:00,4057.0249,-1750.0,3392.983,219.283,11790.188,897.152,2,0,0,0,0,0,45.0,0,24.89,24.96,,,,
201,1,LAB01,001,1,,3,0,7793.720,564,564,6980,564,03/15/2024 12:08:00,03/15/2024 10:00:00,4034.7161,-1750.0,3392.983,274.103,11790.188,1118.337,2,0,0,0,0,0,45.0,0,25.13,25.65,,,,
201,1,LAB01,001,1,,3,0,7906.493,677,677,6980,677,03/15/2024 12:09:53,03/15/2024 10:00:00,4010.5914,-1750.0,3392.983,328.924,11790.188,1338.200,2,0,0,0,0,0,45.0,0,24.94,25.49,,,,
201,1,LAB01,001,1,,3,0,8019.267,789,789,6980,789,03/15/2024 12:11:46,03/15/2024 10:00:00,3989.5572,-1750.0,3392.983,383.744,11790.188,1556.910,2,0,0,0,0,0,45.0,0,24.89,25.59,,,,
201,1,LAB01,001,1,,3,0,8132.041,902,902,6980,902,03/15/2024 12:13:39,03/15/2024 10:00:00,3964.3539,-1750.0,3392.983,438.565,11790.188,1774.239,2,0,0,0,0,0,45.0,0,24.97,25.72,,,,
201,1,LAB01,001,1,,3,0,8244.815,1015,1015,6980,1015,03/15/2024 12:15:32,03/15/2024 10:00:00,3940.6534,-1750.0,3392.983,493.386,11790.188,1990.268,2,0,0,0,0,0,45.0,0,25.04,26.00,,,,
201,1,LAB01,001,1,,3,0,8357.589,1128,1128,6980,1128,03/15/2024 12:17:24,03/15/2024 10:00:00,3918.1783,-1750.0,3392.983,548.206,11790.188,2205.065,2,0,0,0,0,0,45.0,0,24.99,26.22,,,,
201,1,LAB01,001,1,,3,0,8470.363,1241,1241,6980,1241,03/15/2024 12:19:17,03/15/2024 10:00:00,3895.5386,-1750.0,3392.983,603.027,11790.188,2418.621,30,0,0,0,0,0,45.0,0,24.97,26.14,,,,
201,1,LAB01,001,1,,3,0,8583.137,1353,1353,6980,1353,03/15/2024 12:21:10,03/15/2024 10:00:00,3872.4213,-1750.0,3392.983,657.848,11790.188,2630.909,2,0,0,0,0,0,45.0,0,25.14,26.53,,,,
201,1,LAB01,001,1,,3,0,8695.910,1466,1466,6980,1466,03/15/2024 12:23:03,03/15/2024 10:00:00,3848.8717,-1750.0,3392.983,712.668,11790.188,2841.907,2,0,0,0,0,0,45.0,0,24.92,26.31,,,,
201,1,LAB01,001,1,,3,0,8808.684,1579,1579,6980,1579,03/15/2024 12:24:55,03/15/2024 10:00:00,3823.5154,-1750.0,3392.983,767.489,11790.188,3051.514,2,0,0,0,0,0,45.0,0,24.94,26.63,,,,
201,1,LAB01,001,1,,3,0,8921.458,1692,1692,6980,1692,03/15/2024 12:26:48,03/15/2024 10:00:00,3800.6587,-1750.0,3392.983,822.309,11790.188,3259.869,2,0,0,0,0,0,45.0,0,24.98,26.57,,,,
201,1,LAB01,001,1,,3,0,9034.232,1804,1804,6980,1804,03/15/2024 12:28:41,03/15/2024 10:00:00,3776.4020,-1750.0,3392.983,877.130,11790.188,3466.894,2,0,0,0,0,0,45.0,0,25.09,26.84,,,,
201,1,LAB01,001,1,,3,0,9147.006,1917,1917,6980,1917,03/15/2024 12:30:34,03/15/2024 10:00:00,3754.4444,-1750.0,3392.983,931.951,11790.188,3672.715,2,0,0,0,0,0,45.0,0,25.00,26.82,,,,
201,1,LAB01,001,1,,3,0,9259.780,2030,2030,6980,2030,03/15/2024 12:32:27,03/15/2024 10:00:00,3727.3903,-1750.0,3392.983,986.771,11790.188,3877.052,2,0,0,0,0,0,45.0,0,25.09,27.12,,,,
201,1,LAB01,001,1,,3,0,9372.554,2143,2143,6980,2143,03/15/2024 12:34:19,03/15/2024 10:00:00,3706.5094,-1750.0,3392.983,1041.592,11790.188,4080.246,2,0,0,0,0,0,45.0,0,25.02,27.18,,,,
201,1,LAB01,001,1,,3,0,9485.327,2255,2255,6980,2255,03/15/2024 12:36:12,03/15/2024 10:00:00,3684.3283,-1750.0,3392.983,1096.413,11790.188,4282.223,2,0,0,0,0,0,45.0,0,24.92,27.14,,,,
201,1,LAB01,001,1,,3,0,9598.101,2368,2368,6980,2368,03/15/2024 12:38:05,03/15/2024 10:00:00,3658.5538,-1750.0,3392.983,1151.233,11790.188,4482.787,30,0,0,0,0,0,45.0,0,25.10,27.53,,,,
201,1,LAB01,001,1,,3,0,9710.875,2481,2481,6980,2481,03/15/2024 12:39:58,03/15/2024 10:00:00,3634.9844,-1750.0,3392.983,1206.054,11790.188,4682.059,2,0,0,0,0,0,45.0,0,24.87,27.33,,,,
201,1,LAB01,001,1,,3,0,9823.649,2594,2594,6980,2594,03/15/2024 12:41:50,03/15/2024 10:00:00,3611.3837,-1750.0,3392.983,1260.874,11790.188,4880.037,2,0,0,0,0,0,45.0,0,25.18,27.50,,,,
201,1,LAB01,001,1,,3,0,9936.423,2707,2707,6980,2707,03/15/2024 12:43:43,03/15/2024 10:00:00,3587.2500,-1750.0,3392.983,1315.695,11790.188,5076.693,2,0,0,0,0,0,45.0,0,25.14,27.57,,,,
201,1,LAB01,001,1,,3,0,10049.197,2819,2819,6980,2819,03/15/2024 12:45:36,03/15/2024 10:00:00,3563.5403,-1750.0,3392.983,1370.516,11790.188,5272.048,2,0,0,0,0,0,45.0,0,25.04,27.48,,,,
201,1,LAB01,001,1,,3,0,10161.971,2932,2932,6980,2932,03/15/2024 12:47:29,03/15/2024 10:00:00,3539.1466,-1750.0,3392.983,1425.336,11790.188,5466.067,2,0,0,0,0,0,45.0,0,24.97,27.21,,,,
201,1,LAB01,001,1,,3,0,10274.744,3045,3045,6980,3045,03/15/2024 12:49:21,03/15/2024 10:00:00,3514.9759,-1750.0,3392.983,1480.157,11790.188,5658.760,2,0,0,0,0,0,45.0,0,25.04,27.70,,,,
201,1,LAB01,001,1,,3,0,10387.518,3158,3158,6980,3158,03/15/2024 12:51:14,03/15/2024 10:00:00,3491.6360,-1750.0,3392.983,1534.978,11790.188,5850.173,2,0,0,0,0,0,45.0,0,25.12,27.83,,,,
201,1,LAB01,001,1,,3,0,10500.292,3270,3270,6980,3270,03/15/2024 12:53:07,03/15/2024 10:00:00,3466.7701,-1750.0,3392.983,1589.798,11790.188,6040.224,2,0,0,0,0,0,45.0,0,25.09,27.67,,,,
201,1,LAB01,001,1,,3,0,10613.066,3383,3383,6980,3383,03/15/2024 12:55:00,03/15/2024 10:00:00,3443.5035,-1750.0,3392.983,1644.619,11790.188,6228.999,2,0,0,0,0,0,45.0,0,25.01,27.54,,,,
201,1,LAB01,001,1,,3,0,10725.840,3496,3496,6980,3496,03/15/2024 12:56:53,03/15/2024 10:00:00,3418.2205,-1750.0,3392.983,1699.439,11790.188,6416.388,30,0,0,0,0,0,45.0,0,24.99,27.73,,,,
201,1,LAB01,001,1,,3,0,10838.614,3609,3609,6980,3609,03/15/2024 12:58:45,03/15/2024 10:00:00,3394.3406,-1750.0,3392.983,1754.260,11790.188,6602.468,2,0,0,0,0,0,45.0,0,24.97,27.52,,,,
201,1,LAB01,001,1,,3,0,10951.388,3722,3722,6980,3722,03/15/2024 13:00:38,03/15/2024 10:00:00,3370.9103,-1750.0,3392.983,1809.081,11790.188,6787.263,2,0,0,0,0,0,45.0,0,25.16,27.42,,,,
201,1,LAB01,001,1,,3,0,11064.162,3834,3834,6980,3834,03/15/2024 13:02:31,03/15/2024 10:00:00,3345.1420,-1750.0,3392.983,1863.901,11790.188,6970.646,2,0,0,0,0,0,45.0,0,24.95,27.33,,,,
